iter	Passed	Remaining
679	3625	4372
680	3630	4366
681	3635	4360
682	3641	4355
683	3646	4349
684	3655	4349
685	3666	4350
686	3677	4352
687	3684	4348
688	3690	4343
689	3695	4338
690	3700	4332
691	3705	4326
692	3710	4321
693	3716	4316
694	3721	4310
695	3727	4305
696	3732	4299
697	3737	4294
698	3742	4288
699	3747	4282
700	3752	4277
701	3757	4271
702	3763	4266
703	3768	4261
704	3773	4255
705	3776	4247
706	3781	4241
707	3786	4235
708	3791	4230
709	3796	4224
710	3802	4219
711	3807	4213
712	3812	4208
713	3817	4202
714	3823	4197
715	3828	4191
716	3833	4186
717	3838	4180
718	3843	4175
719	3848	4169
720	3855	4165
721	3861	4161
722	3868	4157
723	3873	4151
724	3878	4146
725	3883	4140
726	3889	4135
727	3893	4129
728	3898	4123
729	3903	4117
730	3908	4112
731	3913	4106
732	3918	4100
733	3924	4095
734	3929	4090
735	3932	4081
736	3937	4076
737	3942	4071
738	3945	4063
739	3950	4057
740	3955	4051
741	3961	4046
742	3966	4040
743	3971	4035
744	3976	4029
745	3981	4024
746	3986	4018
747	3992	4013
748	3997	4007
749	4002	4002
750	4007	3996
751	4012	3991
752	4017	3985
753	4021	3979
754	4027	3973
755	4032	3968
756	4037	3962
757	4043	3957
758	4048	3952
759	4053	3947
760	4058	3941
761	4064	3936
762	4069	3930
763	4074	3925
764	4079	3919
765	4084	3914
766	4090	3908
767	4094	3902
768	4100	3897
769	4105	3891
770	4109	3885
771	4114	3879
772	4119	3874
773	4124	3869
774	4130	3863
775	4135	3858
776	4139	3852
777	4144	3846
778	4149	3840
779	4154	3835
780	4159	3829
781	4164	3823
782	4169	3818
783	4174	3812
784	4179	3806
785	4184	3801
786	4189	3795
787	4193	3788
788	4198	3783
789	4203	3778
790	4208	3772
791	4214	3767
792	4219	3762
793	4225	3757
794	4229	3750
795	4235	3745
796	4240	3740
797	4245	3735
798	4251	3729
799	4256	3724
800	4261	3719
801	4264	3711
802	4269	3706
803	4274	3700
804	4280	3695
805	4285	3689
806	4290	3684
807	4295	3679
808	4300	3673
809	4306	3668
810	4311	3662
811	4316	3657
812	4321	3652
813	4326	3646
814	4329	3638
815	4334	3633
816	4339	3628
817	4344	3622
818	4350	3617
819	4355	3611
820	4360	3606
821	4365	3601
822	4371	3595
823	4376	3590
824	4381	3584
825	4386	3579
826	4391	3573
827	4396	3568
828	4401	3562
829	4407	3557
830	4412	3552
831	4417	3546
832	4422	3541
833	4427	3535
834	4433	3530
835	4438	3524
836	4443	3519
837	4448	3514
838	4453	3508
839	4458	3503
840	4464	3497
841	4469	3492
842	4474	3486
843	4479	3481
844	4484	3475
845	4489	3470
846	4494	3465
847	4499	3459
848	4504	3454
849	4509	3448
850	4514	3443
851	4520	3437
852	4525	3432
853	4530	3427
854	4535	3421
855	4541	3416
856	4546	3411
857	4551	3405
858	4556	3400
859	4561	3394
860	4566	3389
861	4571	3383
862	4576	3377
863	4581	3372
864	4586	3367
865	4591	3361
866	4596	3356
867	4602	3350
868	4607	3345
869	4612	3340
870	4617	3334
871	4622	3329
872	4628	3323
873	4633	3318
874	4638	3313
875	4643	3307
876	4648	3302
877	4653	3296
878	4659	3291
879	4664	3286
880	4669	3280
881	4674	3275
882	4679	3270
883	4685	3264
884	4690	3259
885	4695	3253
886	4700	3248
887	4705	3243
888	4708	3236
889	4713	3230
890	4718	3225
891	4723	3219
892	4728	3214
893	4733	3208
894	4739	3203
895	4742	3196
896	4747	3191
897	4752	3185
898	4757	3180
899	4762	3175
900	4767	3169
901	4772	3164
902	4778	3159
903	4783	3153
904	4788	3148
905	4793	3142
906	4798	3137
907	4804	3132
908	4807	3125
909	4812	3120
910	4817	3114
911	4822	3109
912	4827	3103
913	4833	3098
914	4838	3093
915	4843	3088
916	4848	3082
917	4853	3077
918	4858	3071
919	4864	3066
920	4869	3061
921	4874	3055
922	4879	3050
923	4884	3045
924	4890	3039
925	4895	3034
926	4900	3029
927	4905	3023
928	4910	3018
929	4916	3013
930	4921	3007
931	4925	3002
932	4930	2996
933	4935	2991
934	4940	2985
935	4946	2980
936	4951	2975
937	4956	2969
938	4959	2963
939	4965	2957
940	4970	2952
941	4975	2947
942	4978	2940
943	4983	2935
944	4989	2930
945	4994	2924
946	4999	2919
947	5004	2913
948	5009	2908
949	5014	2903
950	5020	2898
951	5025	2892
952	5030	2887
953	5035	2882
954	5040	2876
955	5046	2871
956	5051	2866
957	5056	2861
958	5062	2855
959	5067	2850
960	5072	2845
961	5077	2839
962	5082	2834
963	5088	2829
964	5093	2823
965	5099	2818
966	5104	2813
967	5107	2807
968	5113	2801
969	5118	2796
970	5123	2791
971	5128	2786
972	5134	2781
973	5139	2775
974	5144	2770
975	5149	2764
976	5155	2759
977	5160	2754
978	5165	2748
979	5170	2743
980	5175	2738
981	5180	2732
982	5186	2727
983	5191	2722
984	5196	2717
985	5202	2711
986	5207	2706
987	5212	2701
988	5216	2695
989	5221	2689
990	5226	2684
991	5231	2679
992	5235	2672
993	5240	2667
994	5245	2662
995	5250	2657
996	5255	2651
997	5261	2646
998	5267	2641
999	5272	2636
1000	5277	2630
1001	5283	2625
1002	5289	2620
1003	5294	2615
1004	5299	2610
1005	5302	2603
1006	5307	2598
1007	5312	2593
1008	5317	2587
1009	5322	2582
1010	5327	2577
1011	5331	2570
1012	5336	2565
1013	5339	2559
1014	5344	2553
