date_de_debut;date_de_fin;motif;organisations_syndicales;metiers_cibles;population;nombre_grevistes;taux_grevistes;date_debut
2019-12-17;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;32.8;2019-12-17
2019-12-21;;Réforme des retraites;CGT,SUD Rail,CFDT,FO,UNSA;;;;24.1;2019-12-21
2019-12-24;;Réforme des retraites;CGT,SUD Rail,CFDT,FO,UNSA;;;;9.8;2019-12-24
2020-01-06;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;6.3;2020-01-06
2020-01-09;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;32.9;2020-01-09
2020-01-11;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;18.7;2020-01-11
2020-01-15;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;4.7;2020-01-15
2020-01-24;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;13.9;2020-01-24
2020-02-06;;Réforme des retraites;CGT,UNSA,SUD Rail,FO;;;;6.1;2020-02-06
2021-03-08;;Journée internationale du droit des femmes;CGT,SUD Rail;;;;0.7;2021-03-08
2022-12-07;;NAO, salaires;CGT,SUD Rail,CFDT;;;;7.3;2022-12-07
2023-01-19;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;47.7;2023-01-19
2023-03-08;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;19.0;2023-03-08
2023-03-18;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;9.0;2023-03-18
2023-03-31;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;1.8;2023-03-31
2023-05-31;;Salaires;CGT;;;;2.8;2023-05-31
2023-06-06;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;8.9;2023-06-06
2018-03-08;;Egalité des droits H/F;CGT,SUD Rail;;;;0.2;2018-03-08
2018-03-22;;Reforme de la SNCF / Manif de la fonction puplique;UNSA,SUD Rail;;;;35.4;2018-03-22
2018-04-18;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;19.8;2018-04-18
2018-04-23;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;17.4;2018-04-23
2018-04-24;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;17.9;2018-04-24
2018-04-29;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;28.6;2018-04-29
2018-05-03;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;18.2;2018-05-03
2018-05-18;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;15.7;2018-05-18
2018-05-19;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;27.3;2018-05-19
2018-05-24;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;15.0;2018-05-24
2018-06-03;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;24.9;2018-06-03
2018-06-12;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;17.6;2018-06-12
2018-07-07;;Reforme de la SNCF;CGT,SUD Rail;;;;16.1;2018-07-07
2018-07-19;;Reforme de la SNCF;CGT;;;;3.2;2018-07-19
2018-07-27;;Reforme de la SNCF;CGT;;;;2.6;2018-07-27
2018-10-09;;Journée interpro du 9 octobre;CGT;;;;7.9;2018-10-09
2019-03-19;;Défense des métiers;CGT;;;;7.3;2019-03-19
