date,opérateur,secteur_d'activité,région,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,consommation_journalière_(mwh_-_pcs_0°c),statut,movement_social
2019-07-15,GRTgaz,GRD/ELD,Centre-Val de Loire,444.96224,460.204955,463.73022,425.585852,401.617086,392.120603,343.667639,348.611541,338.359776,370.805979,398.15124,481.726764,540.706474,596.468263,622.977781,611.188168,603.332643,617.503011,571.971834,556.345474,538.393681,477.163748,449.741608,438.07748,11493.41406,Définitif,False
2019-07-15,GRTgaz,GRD/ELD,Hauts-de-France,1348.185871,1473.171545,1443.415057,1302.752259,1151.264853,1090.191214,1009.490838,1007.730436,981.491879,1008.827209,1122.178982,1301.563968,1481.084109,1544.680112,1603.195855,1528.226751,1599.59956,1641.740577,1591.926809,1515.329193,1350.766183,1263.040296,1213.472498,1188.967377,31762.293431,Définitif,False
2019-07-15,GRTgaz,GRD/ELD,Provence-Alpes-Côte d'Azur,486.238794,550.333076,578.770482,500.723213,395.85676,353.962255,300.95447,286.542978,277.603279,270.581689,321.683475,368.569004,474.2425,652.224333,618.739258,512.973577,543.697516,626.661974,597.176798,591.843535,510.012791,463.840688,422.262371,426.251402,11131.746218,Définitif,False
2019-07-16,GRTgaz,GRD/ELD,Auvergne-Rhône-Alpes,1266.722484,1409.611579,1375.847696,1269.318001,1144.460031,1039.838697,965.261774,926.140935,926.606361,925.212519,1063.384722,1226.948248,1629.432532,1872.78555,1789.09863,1647.945518,1646.953653,1604.642501,1512.948348,1481.572443,1337.818927,1221.726662,1170.13225,1202.01021,31656.420271,Définitif,False
2019-07-17,GRTgaz,GRD/ELD,Grand Est,1299.610871,1372.131621,1333.537271,1279.264891,1173.475703,1061.191924,992.486098,968.492308,960.831262,966.025559,1049.904873,1313.880359,1551.87017,1716.490852,1688.706715,1648.238987,1600.137764,1623.875705,1532.915269,1422.056864,1311.583407,1239.14987,1168.830593,1197.677807,31472.366743,Définitif,False
2019-07-18,GRTgaz,GRD/ELD,Bourgogne-Franche-Comté,527.90593,549.316232,543.51153,507.327413,457.370776,440.324058,419.912355,393.840685,392.877024,409.337677,464.444506,537.13472,677.006301,756.648646,720.986174,709.123627,680.274379,675.018596,646.603707,620.53406,558.440612,521.517211,503.512071,503.010712,13215.979002,Définitif,False
2019-07-18,GRTgaz,GRD/ELD,Hauts-de-France,1373.395951,1469.907795,1404.37228,1256.347326,1170.342979,1099.28062,964.033793,965.962876,942.831447,956.884497,1034.564403,1177.905538,1487.337384,1656.685134,1647.861358,1605.925393,1680.192476,1683.639193,1535.622825,1445.881108,1352.021238,1476.672331,1222.294772,1235.490564,31845.453281,Définitif,False
2019-07-18,GRTgaz,GRD/ELD,Provence-Alpes-Côte d'Azur,482.798362,528.074197,551.102799,475.302865,402.861018,341.493788,318.510801,275.196725,270.610074,276.601127,286.190261,352.702211,504.019943,639.578299,658.15672,585.353321,600.737097,610.933504,576.595857,582.959843,499.607726,443.167654,401.46227,420.568903,11084.585365,Définitif,False
2019-07-19,GRTgaz,GRD/ELD,Bretagne,778.096442,749.874279,662.011644,570.455341,507.12234,457.641906,408.130581,397.714206,407.93373,389.273028,403.552351,411.806294,796.443629,964.926122,1045.906064,1108.730128,1151.404897,1089.051683,1015.300983,986.196433,927.127424,851.75403,816.874948,790.877951,17688.206434,Définitif,False
2019-07-20,GRTgaz,GRD/ELD,Bourgogne-Franche-Comté,355.862632,383.366996,374.439968,362.378601,327.235526,295.728255,280.043282,260.400731,251.982822,258.136234,283.70167,301.859834,383.286131,402.887593,433.14214,447.302244,458.131791,450.019429,424.294241,394.124477,355.360981,329.019254,316.373018,335.621159,8464.699009,Définitif,False
